,,,,Road Analysis Data,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Accident_Index,Junction_Control,Junction_Detail,Accident_Severity,Latitude,Light_Conditions,Local_Authority_(District),Carriageway_Hazards,Road_Surface_Conditions,Road_Type,Urban_or_Rural_Area,Weather_Conditions,Vehicle_Type,Gender,Road_Category,State,Date of Accident,Road Accident,Person Killed,Person Injured
BS0000001,Give way or uncontrolled,T or staggered junction,Serious,51.512273,Daylight,Kensington and Chelsea,None,Dry,One way street,Urban,Fine no high winds,Car,Male,State Highway,Maharashtra,10-22-21,39,24,15
BS0000002,Give way or uncontrolled,Crossroads,Serious,51.514399,Daylight,Kensington and Chelsea,None,Wet or damp,Single carriageway,Urban,Fine no high winds,Taxi/Private hire car,Female,State Highway,Punjab,12-03-2022,45,1,44
BS0000003,Give way or uncontrolled,T or staggered junction,Slight,51.486668,Daylight,Kensington and Chelsea,None,Dry,Single carriageway,Urban,Fine no high winds,Taxi/Private hire car,Female,State Highway,M.P,04-05-2020,30,23,7
BS0000004,Auto traffic signal,T or staggered junction,Serious,51.507804,Daylight,Kensington and Chelsea,None,Frost or ice,Single carriageway,Urban,Other,Motorcycle over 500cc,Male,State Highway,Punjab,11-01-2020,14,8,6
,,,,,,,,,,,,,,,,,,,
BS0000005,Auto traffic signal,Crossroads,Serious,51.482076,Darkness - lights lit,Kensington and Chelsea,None,Dry,Single carriageway,Urban,Fine no high winds,Car,Male,National Highway,Punjab,05-09-2019,45,9,36
BS0000006,Give way or uncontrolled,T or staggered junction,Slight,51.493415,Daylight,Kensington and Chelsea,None,Dry,Single carriageway,Urban,Fine no high winds,Car,Male,National Highway,Punjab,12-01-2021,30,20,10
BS0000007,Give way or uncontrolled,T or staggered junction,Serious,51.480177,Daylight,Kensington and Chelsea,None,Dry,Single carriageway,Urban,Fine no high winds,Motorcycle over 500cc,Male,State Highway,Punjab,3-18-21,18,9,9
,,,,,,,,,,,,,,,,,,,
BS0000008,Auto traffic signal,Crossroads,Slight,51.491957,Daylight,Kensington and Chelsea,None,Dry,Dual carriageway,Urban,Fine no high winds,Car,Male,National Highway,M.P,4-23-22,14,3,11
BS0000009,Give way or uncontrolled,T or staggered junction,Slight,51.49646,Daylight,Kensington and Chelsea,None,Dry,Single carriageway,Urban,Fine no high winds,Van / Goods 3.5 tonnes mgw or under,Female,Other Road,Maharashtra,09-10-2020,14,10,4
